base_code,sample_rate_hz,http_status,content_type,actual_wav_rate_hz,batch,observed_at
Kis,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Kka,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Kka,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Kkr,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Kkr,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Klu,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Klu,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Kor,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Kor,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Kov,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Kov,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Koz,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Koz,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Ksa,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Ksa,48000,200,audio/wav,48000,all-screenshot-codes-48k,2026-07-23
Ktr,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Ktr,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Kud,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Kud,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Lil,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Lil,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Lli,24000,400,application/json,,all-screenshot-codes-24k,2026-07-23
Lli,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Lpe,24000,400,application/json,,all-screenshot-codes-24k,2026-07-23
Lpe,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Mak,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Mak,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Man,24000,400,application/json,,all-screenshot-codes-24k,2026-07-23
Man,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Mar,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Mar,48000,200,audio/wav,48000,all-screenshot-codes-48k,2026-07-23
Mel,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Mel,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Min,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Min,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Mir,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Mir,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Nag,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Nag,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Ore,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Ore,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Ovs,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Ovs,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Peh,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Peh,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Pik,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Pik,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Pot,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Pot,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Pru,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Pru,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Rab,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Rab,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Res,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Res,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Roz,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Roz,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Rum,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Rum,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Saf,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Saf,48000,200,audio/wav,48000,all-screenshot-codes-48k,2026-07-23
San,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
San,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Sdo,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Sdo,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Shc,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Shc,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
She,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
She,48000,200,audio/wav,48000,all-screenshot-codes-48k,2026-07-23
Shi,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Shi,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Shl,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Shl,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Sid,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Sid,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Sko,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Sko,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Smi,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Smi,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Sne,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Sne,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Sta,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Sta,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Ste,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Ste,48000,200,audio/wav,48000,all-screenshot-codes-48k,2026-07-23
Sto,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Sto,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Str,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Str,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Tar,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Tar,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Tob,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Tob,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Tre,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Tre,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Tso,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Tso,48000,200,audio/wav,48000,all-screenshot-codes-48k,2026-07-23
Tya,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Tya,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Uso,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Uso,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Ved,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Ved,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Vol,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Vol,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Voy,24000,200,audio/wav,24000,all-screenshot-codes-24k,2026-07-23
Voy,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
Vsh,24000,400,application/json,,all-screenshot-codes-24k,2026-07-23
Vsh,48000,400,application/json,,all-screenshot-codes-48k,2026-07-23
